theta 	 tau 	 mag_planar (x-dirn) 	 error	 mag_perp (z-dirn) 	 error
  2.04     -0.0036915     -0.0184307      0.0001688      0.0280409      0.0001672
  2.07     -0.0025623     -0.0185988      0.0001684      0.0285123      0.0001668
  2.10     -0.0032062     -0.0199949      0.0001697      0.0275110      0.0001675
  2.14     -0.0029707     -0.0214001      0.0001701      0.0281771      0.0001662
  2.17     -0.0035885     -0.0223424      0.0001695      0.0264916      0.0001670
  2.20     -0.0025414     -0.0226751      0.0001685      0.0268859      0.0001664
  2.23     -0.0025773     -0.0235714      0.0001685      0.0261829      0.0001671
  2.26     -0.0012789     -0.0238420      0.0001687      0.0268137      0.0001669
  2.29     -0.0016056     -0.0241971      0.0001690      0.0250183      0.0001673
  2.32     -0.0007845     -0.0247760      0.0001681      0.0252377      0.0001656
  2.36     -0.0005725     -0.0260424      0.0001706      0.0252328      0.0001661
  2.39     -0.0002037     -0.0263877      0.0001687      0.0245003      0.0001657
  2.42      0.0004552     -0.0269585      0.0001680      0.0243740      0.0001660
  2.45      0.0004446     -0.0268515      0.0001674      0.0227905      0.0001646
  2.48      0.0016205     -0.0270242      0.0001694      0.0230129      0.0001676
  2.51      0.0020627     -0.0272401      0.0001682      0.0223408      0.0001689
  2.54      0.0024427     -0.0281565      0.0001695      0.0220886      0.0001654
  2.58      0.0025356     -0.0266895      0.0001702      0.0199408      0.0001684
  2.61      0.0020494     -0.0292220      0.0001696      0.0196628      0.0001670
  2.64      0.0030844     -0.0291062      0.0001683      0.0195211      0.0001676
  2.67      0.0034786     -0.0292748      0.0001687      0.0188204      0.0001671
  2.70      0.0038322     -0.0292431      0.0001680      0.0179961      0.0001676
  2.73      0.0038657     -0.0306523      0.0001677      0.0174765      0.0001675
  2.76      0.0029025     -0.0308516      0.0001677      0.0153367      0.0001675
  2.80      0.0038966     -0.0312487      0.0001685      0.0153917      0.0001670
  2.83      0.0036500     -0.0303547      0.0001688      0.0137007      0.0001659
  2.86      0.0056486     -0.0307998      0.0001686      0.0148303      0.0001655
  2.89      0.0056210     -0.0305681      0.0001681      0.0136518      0.0001656
  2.92      0.0052572     -0.0300555      0.0001697      0.0121051      0.0001661
  2.95      0.0060603     -0.0305505      0.0001698      0.0119974      0.0001658
  2.98      0.0050398     -0.0295091      0.0001688      0.0097764      0.0001676
  3.02      0.0059464     -0.0304952      0.0001682      0.0098461      0.0001673
  3.05      0.0053221     -0.0309177      0.0001689      0.0082684      0.0001679
  3.08      0.0055454     -0.0308594      0.0001703      0.0074979      0.0001687
  3.11      0.0053579     -0.0301681      0.0001686      0.0063086      0.0001656
  3.14      0.0059271     -0.0313485      0.0001685      0.0059271      0.0001657

-------------------------------------------------------------------------------------------
-600
0 
0
0 
0 
300
0 
300
0
0 
0 
300
0 
-600
0
300
0 
0
0 
300
0
300
0 
0
0 
0 
-600







xx bond:

J1 = 
K 0 0
0 0 G
0 G 0

yy bond:

J2= 
0 0 G
0 K 0
G 0 0

zz bond:

J3 = 
0 G 0
G 0 0
0 0 K

These three matrices are related to each other by a cyclic permutation. One serious study expects the values of K and G = \Gamma to be K = - 5 meV and \Gamma = +2.5 meV (see http://iopscience.iop.org/article/10.1088/1361-648X/aa8cf5/pdf). (1 meV ) e = k_B T
So the temperature corresponding to 1 meV is:
T = 0.001 e/k_B = 11.6
So K = - 5 meV = -58 K ~ -60 K and \Gamma = 2.5 meV ~ 30 K. 


beta =0.1, hx = 30 cos theta, hy = 30 sin theta, hz=0
